,Tweets,Name,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
90,"😲 Some VERY impressive maths here. 
#UniversityChallenge https://t.co/crvQQ5V3Vn",BBC,Sat Apr 07 16:00:23 +0000 2018,0.6515,0.419,0.0,0.581,91
91,Doctors are finding one way that sugar can benefit your health - it may help heal wounds resistant to antibiotics.… https://t.co/zI9pN0zSVo,BBC,Sat Apr 07 15:01:03 +0000 2018,0.6908,0.241,0.0,0.759,92
92,"RT @BBCRadio2: ""The clunk of putting the cassette in, snapping it shut... oh wait I'm going to rewind to get to the start of the song. It's…",BBC,Sat Apr 07 14:33:46 +0000 2018,0.0,0.0,0.0,1.0,93
93,"🌎📸 Our pick of the most striking news photographs taken around the world recently.
👉 https://t.co/zPpuZq9hOC https://t.co/fYUTrG44Ra",BBC,Sat Apr 07 14:00:31 +0000 2018,0.0,0.0,0.0,1.0,94
94,How did this new mum survive in the chaos that followed Hurricane Maria? https://t.co/Nx7uFz1k56,BBC,Sat Apr 07 13:00:20 +0000 2018,-0.5719,0.0,0.222,0.778,95
95,"For Dr Joel Salinas, music creates colours, numbers have personalities and another person's pain feels almost like… https://t.co/lrGhiKBaGZ",BBC,Sat Apr 07 12:07:08 +0000 2018,-0.296,0.098,0.154,0.748,96
96,"RT @bbcthree: 94-year-old Judo Jack says: ""Get off your butt and do something."" https://t.co/M9CzCtwSqe",BBC,Sat Apr 07 11:19:19 +0000 2018,0.0,0.0,0.0,1.0,97
97,RT @BBCR1: It's been one whole year of Sign Of The Times and we need to know whether @Harry_Styles finally let Chris Martin be head of his…,BBC,Sat Apr 07 11:00:57 +0000 2018,0.0,0.0,0.0,1.0,98
98,"What an inspiration! 💪 

❤️ Fraser shed the pounds to pursue his wrestling dream, in memory of his mother. https://t.co/LWmuGo6dTN",BBC,Sat Apr 07 11:00:18 +0000 2018,0.69,0.251,0.0,0.749,99
99,"RT @BBCSport: It's a historic victory for Uganda! 🙌 

Earlier today they recorded their first ever victory at the Commonwealth games with a…",BBC,Sat Apr 07 10:26:52 +0000 2018,0.0,0.0,0.0,1.0,100
